======================================================================
OPTIMAL PATH REPORT — ZOLDYCK CONTRACT BOARD
======================================================================

Day   1 | Yorknew        | ACCEPTED             | C01 Vugo Boldora @ Yorknew gold=5000
Day  87 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  88 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  89 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  90 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  91 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  92 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  93 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  94 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  95 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  96 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  97 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  98 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day  99 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 100 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 101 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 102 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 103 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 104 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 105 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 106 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 107 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 108 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 109 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 110 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 111 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 112 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 113 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 114 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 115 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 116 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 117 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 118 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 119 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 120 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 121 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 122 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 123 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 124 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 125 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 126 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 127 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 128 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 129 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 130 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 131 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 132 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 133 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 134 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 135 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 136 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 137 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 138 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 139 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 140 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 141 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 142 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 143 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 144 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 145 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 146 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 147 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 148 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 149 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 150 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 151 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 152 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 153 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 154 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 155 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 156 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 157 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 158 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 159 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 160 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 161 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 162 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 163 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 164 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 165 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 166 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 167 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 168 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 169 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 170 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 171 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 172 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 173 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 174 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 175 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 176 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 177 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 178 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 179 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 180 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 181 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 182 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 183 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 184 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 185 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 186 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 187 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 188 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 189 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 190 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 191 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 192 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 193 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 194 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 195 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 196 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 197 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 198 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 199 | Kukuroo        | IDLE                 | No reachable contracts — scouting
Day 200 | Kukuroo        | IDLE                 | No reachable contracts — scouting

======================================================================
TOTAL GOLD EARNED : 83,238g
CONTRACTS COMPLETED: 10
CONTRACTS FAILED   : 6
CONTRACTS ABANDONED: 1
FINAL REP MULTIPLIER: 0.30x
======================================================================
